Striking,#3 (P2),#4 (P1),Chosen Stage,#2 (P2),#1 (P1),Battlefield,Final Destination,Kalos Pokémon League,Battlefield,Yes,Lylat Cruise,Yoshi's Island (Brawl),Yoshi's Story,Yes,Battlefield,,
Striking,#2 (P2),#4 (P1),Chosen Stage,#3 (P2),#1 (P1),Battlefield,Final Destination,Kalos Pokémon League,Battlefield,No,,,,Yes,Battlefield,,
Striking,#2 (P2),#3 (P2),Chosen Stage,#4 (P1),#1 (P1),Battlefield,Final Destination,Yoshi's Island (Brawl),Battlefield,Yes,Pokémon Stadium 2,Yoshi's Story,Smashville,Yes,Battlefield,,
Striking,#4 (P1),#3 (P2),Chosen Stage,#1 (P1),#2 (P2),Battlefield,Final Destination,Unova Pokémon League,Battlefield,No,,,,Yes,Battlefield,,
Striking,#4 (P1),#1 (P1),Chosen Stage,#3 (P2),#2 (P2),Battlefield,Final Destination,Yoshi's Island (Brawl),Battlefield,No,,,,Yes,Battlefield,,
Striking,#1 (P1),#3 (P2),Chosen Stage,#4 (P1),#2 (P2),Battlefield,Final Destination,Unova Pokémon League,Battlefield,No,,,,Yes,Battlefield,,
Striking,#2 (P2),#3 (P2),Chosen Stage,#1 (P1),#4 (P1),Battlefield,Kalos Pokémon League,Castle Siege,Battlefield,No,,,,Yes,Battlefield,,
Striking,#3 (P2),#4 (P1),Chosen Stage,#2 (P2),#1 (P1),Battlefield,Lylat Cruise,Castle Siege,Battlefield,Yes,Pokémon Stadium 2,Kalos Pokémon League,Town And City,Yes,Battlefield,,
Striking,#3 (P2),#4 (P1),Chosen Stage,#1 (P1),#2 (P2),Battlefield,Lylat Cruise,Yoshi's Island (Brawl),Battlefield,No,,,,Yes,Battlefield,,
Striking,#4 (P1),#1 (P1),Chosen Stage,#3 (P2),#2 (P2),Battlefield,Pokémon Stadium 2,Unova Pokémon League,Battlefield,Yes,Lylat Cruise,Castle Siege,Town And City,Yes,Battlefield,,
